category,spend_gbp,txn_count,avg_basket_gbp
groceries,4753022.34,115185,41.26424742805053
travel_agents,4486961.73,8165,549.5360355174525
electronics,3822435.25,13121,291.3219457358433
hotels,3647598.36,12247,297.8360708744999
unknown,3410688.74,20647,165.19052356274517
fuel,2282038.98,33700,67.71629020771513
utilities,2239010.6,23287,96.14852063383003
eating_out,2136795.07,72506,29.470596502358426
clothing,1956533.06,27318,71.6206552456256
jewellery,1709001.44,3811,448.4391078457098
misc_retail,1228199.83,29023,42.31815560073045
healthcare,1127002.53,6854,164.42989932885905
fast_food,787876.67,60812,12.95594076826942
digital_services,482887.79,41750,11.566174610778443
transport,472648.07,45533,10.380341071310918
gambling,442927.89,5410,81.87206839186692
pharmacy,379606.2,20004,18.976514697060587
